file,n,m,weighted,opt,algo,con,run,rec,del
fastestspeedrun/001-small1.wsoap,2,3,1,801493,gabow,0,0,0,0
fastestspeedrun/001-small1.wsoap,2,3,1,801493,spaghetti,0,0,0,0
fastestspeedrun/002-small2.wsoap,3,8,1,528598,gabow,0,0,0,0
fastestspeedrun/002-small2.wsoap,3,8,1,528598,spaghetti,0,0,0,0
fastestspeedrun/003-small3.wsoap,4,15,1,222509,gabow,0,0,0,0
fastestspeedrun/003-small3.wsoap,4,15,1,222509,spaghetti,0,0,0,0
fastestspeedrun/004-small4.wsoap,6,35,1,959611,gabow,0,0,0,0
fastestspeedrun/004-small4.wsoap,6,35,1,959611,spaghetti,0,0,0,0
fastestspeedrun/005-small5.wsoap,11,120,1,636684,gabow,0,0,0,0
fastestspeedrun/005-small5.wsoap,11,120,1,636684,spaghetti,0,0,0,0
fastestspeedrun/006-itsybitsycycles04.wsoap,11,120,1,1409055,gabow,0,0,0,0
fastestspeedrun/006-itsybitsycycles04.wsoap,11,120,1,1409055,spaghetti,0,0,0,0
fastestspeedrun/007-pad-small1.wsoap,499,249000,1,24969576,gabow,3,8,0,0
fastestspeedrun/007-pad-small1.wsoap,499,249000,1,24969576,spaghetti,2,3,0,0
fastestspeedrun/008-pad-small2.wsoap,500,249999,1,24831336,gabow,3,8,0,0
fastestspeedrun/008-pad-small2.wsoap,500,249999,1,24831336,spaghetti,2,2,0,0
fastestspeedrun/009-pad-small3.wsoap,501,251000,1,24403084,gabow,3,8,0,0
fastestspeedrun/009-pad-small3.wsoap,501,251000,1,24403084,spaghetti,2,292,0,0
fastestspeedrun/010-pad-small4.wsoap,501,251000,1,26096328,gabow,3,9,0,0
fastestspeedrun/010-pad-small4.wsoap,501,251000,1,26096328,spaghetti,1,2,0,0
fastestspeedrun/011-pad-small5.wsoap,499,249000,1,24833044,gabow,2,8,0,0
fastestspeedrun/011-pad-small5.wsoap,499,249000,1,24833044,spaghetti,2,2,0,0
fastestspeedrun/012-small-maximal.wsoap,41,1680,1,2714678703,gabow,0,0,0,0
fastestspeedrun/012-small-maximal.wsoap,41,1680,1,2714678703,spaghetti,0,0,0,0
fastestspeedrun/013-medium-maximal.wsoap,101,10200,1,3707676322,gabow,0,0,0,0
fastestspeedrun/013-medium-maximal.wsoap,101,10200,1,3707676322,spaghetti,0,1,0,0
fastestspeedrun/014-biggish-maximal.wsoap,401,160800,1,5517650034,gabow,2,9,0,0
fastestspeedrun/014-biggish-maximal.wsoap,401,160800,1,5517650034,spaghetti,1,51,0,0
fastestspeedrun/015-manycycles2k5.wsoap,2501,6255000,1,1117074007996,gabow,63,408,0,0
fastestspeedrun/015-manycycles2k5.wsoap,2501,6255000,1,1117074007996,spaghetti,39,38228,0,0
fastestspeedrun/016-ones-and-twos1-2k5.wsoap,2501,6255000,1,125142117,gabow,64,383,0,0
fastestspeedrun/016-ones-and-twos1-2k5.wsoap,2501,6255000,1,125142117,spaghetti,27,14815,0,0
fastestspeedrun/017-ones-and-twos2-2k5.wsoap,2501,6255000,1,124717434,gabow,62,459,0,0
fastestspeedrun/017-ones-and-twos2-2k5.wsoap,2501,6255000,1,124717434,spaghetti,40,49881,0,0
fastestspeedrun/018-maxanswer.wsoap,2501,6255000,1,2500000000000,gabow,61,245,0,0
fastestspeedrun/018-maxanswer.wsoap,2501,6255000,1,2500000000000,spaghetti,40,47,0,0
fastestspeedrun/019-self1.wsoap,501,251000,1,26864007,gabow,3,17,0,0
fastestspeedrun/019-self1.wsoap,501,251000,1,26864007,spaghetti,1,263,0,0
fastestspeedrun/020-self2.wsoap,501,251000,1,81472835,gabow,3,17,0,0
fastestspeedrun/020-self2.wsoap,501,251000,1,81472835,spaghetti,2,264,0,0
fastestspeedrun/021-chunks1.wsoap,501,251000,1,47747568,gabow,3,15,0,0
fastestspeedrun/021-chunks1.wsoap,501,251000,1,47747568,spaghetti,2,185,0,0
fastestspeedrun/022-chain1.wsoap,501,251000,1,25445904,gabow,3,14,0,0
fastestspeedrun/022-chain1.wsoap,501,251000,1,25445904,spaghetti,1,0,0,0
fastestspeedrun/023-chain2.wsoap,501,251000,1,24219887,gabow,2,8,0,0
fastestspeedrun/023-chain2.wsoap,501,251000,1,24219887,spaghetti,2,0,0,0
fastestspeedrun/024-chain3.wsoap,501,251000,1,40240507,gabow,2,14,0,0
fastestspeedrun/024-chain3.wsoap,501,251000,1,40240507,spaghetti,1,97,0,0
fastestspeedrun/025-chain4.wsoap,1001,1002000,1,64063374,gabow,10,64,0,0
fastestspeedrun/025-chain4.wsoap,1001,1002000,1,64063374,spaghetti,5,729,0,0
fastestspeedrun/026-rand1.wsoap,501,251000,1,25267218,gabow,2,12,0,0
fastestspeedrun/026-rand1.wsoap,501,251000,1,25267218,spaghetti,2,17,0,0
fastestspeedrun/027-rand2.wsoap,501,251000,1,25585407,gabow,3,16,0,0
fastestspeedrun/027-rand2.wsoap,501,251000,1,25585407,spaghetti,2,91,0,0
fastestspeedrun/028-largecyc1.wsoap,501,251000,1,26626458,gabow,2,16,0,0
fastestspeedrun/028-largecyc1.wsoap,501,251000,1,26626458,spaghetti,1,1,0,0
fastestspeedrun/029-largecyc2.wsoap,501,251000,1,26395378,gabow,3,16,0,0
fastestspeedrun/029-largecyc2.wsoap,501,251000,1,26395378,spaghetti,2,16,0,0
fastestspeedrun/030-manycycles1k.wsoap,1001,1002000,1,90955319,gabow,9,55,0,0
fastestspeedrun/030-manycycles1k.wsoap,1001,1002000,1,90955319,spaghetti,6,208,0,0
fastestspeedrun/031-manycycles2k.wsoap,2001,4004000,1,104317515,gabow,35,268,0,0
fastestspeedrun/031-manycycles2k.wsoap,2001,4004000,1,104317515,spaghetti,17,20824,0,0
fastestspeedrun/032-chain5_2k5.wsoap,2501,6255000,1,139191756,gabow,63,452,0,0
fastestspeedrun/032-chain5_2k5.wsoap,2501,6255000,1,139191756,spaghetti,39,18849,0,0
fastestspeedrun/033-rand3_2k5.wsoap,2501,6255000,1,125062634,gabow,61,456,0,0
fastestspeedrun/033-rand3_2k5.wsoap,2501,6255000,1,125062634,spaghetti,45,7372,0,0
fastestspeedrun/034-maxcycle.wsoap,2501,6255000,1,126764224,gabow,62,622,0,2
fastestspeedrun/034-maxcycle.wsoap,2501,6255000,1,126764224,spaghetti,41,9,0,0
fastestspeedrun/035-itsybitsycycles05.wsoap,11,120,1,1375165,gabow,0,0,0,0
fastestspeedrun/035-itsybitsycycles05.wsoap,11,120,1,1375165,spaghetti,0,0,0,0
fastestspeedrun/036-itsybitsycycles11.wsoap,11,120,1,699759,gabow,0,0,0,0
fastestspeedrun/036-itsybitsycycles11.wsoap,11,120,1,699759,spaghetti,0,0,0,0
fastestspeedrun/037-itsybitsycycles12.wsoap,11,120,1,1412740,gabow,0,0,0,0
fastestspeedrun/037-itsybitsycycles12.wsoap,11,120,1,1412740,spaghetti,0,0,0,0
fastestspeedrun/038-particycles01.wsoap,21,440,1,1983219,gabow,0,0,0,0
fastestspeedrun/038-particycles01.wsoap,21,440,1,1983219,spaghetti,0,0,0,0
fastestspeedrun/039-particycles03.wsoap,21,440,1,2013956,gabow,0,0,0,0
fastestspeedrun/039-particycles03.wsoap,21,440,1,2013956,spaghetti,0,0,0,0
